internal_id,document,version_date,status,section,estar_section,notes
FDA_AIDSF_PUBLIC_SUMMARY,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: public submission summary)"
FDA_AIDSF_MODEL_CARD,"FDA draft guidance, Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations (Docket FDA-2024-D-4488)",2025-01-07,draft - not for implementation,,,"section to transcribe (D4 seed: model card appendix)"
FDA_STAT2007_CI,"FDA Statistical Guidance on Reporting Results from Studies Evaluating Diagnostic Tests",2007-03-13,final,,n/a,"section to pin from PDF (confidence intervals)"
FDA_STAT2007_PPA_NPA,"FDA Statistical Guidance on Reporting Results from Studies Evaluating Diagnostic Tests",2007-03-13,final,,n/a,"section to pin from PDF (PPA/NPA vs Se/Sp when comparator is not a reference standard)"
FDA_STAT2007_INDETERMINATE,"FDA Statistical Guidance on Reporting Results from Studies Evaluating Diagnostic Tests",2007-03-13,final,,n/a,"section to pin from PDF (indeterminate results reported both ways)"
FDA_STAT2007_BY_SITE,"FDA Statistical Guidance on Reporting Results from Studies Evaluating Diagnostic Tests",2007-03-13,final,,n/a,"section to pin from PDF (results by site)"
FDA_PCCP_DESC_MODS,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (description of modifications)"
FDA_PCCP_MP1_DATA,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (modification protocol: data management)"
FDA_PCCP_MP2_RETRAIN,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (modification protocol: re-training)"
FDA_PCCP_MP3_PERF_EVAL,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (modification protocol: performance evaluation)"
FDA_PCCP_MP4_UPDATE,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (modification protocol: update procedures)"
FDA_PCCP_IMPACT,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (impact assessment)"
FDA_PCCP_TRACEABILITY,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (traceability)"
FDA_PCCP_LABELING,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (labeling)"
FDA_PCCP_PMS_PLANS,"FDA guidance, Marketing Submission Recommendations for a Predetermined Change Control Plan for Artificial Intelligence-Enabled Device Software Functions","2024-12-04, updated 2025-08-18",final,,,"section to transcribe (post-market surveillance plans)"
GB_PMS_44ZM3,"Medical Devices (Post-market Surveillance Requirements) (Amendment) (Great Britain) Regulations 2024, SI 2024/1368","2024 (in force 2025-06-16)",final,,n/a,"regulation number to confirm against legislation.gov.uk"
GB_PMS_44ZL,"Medical Devices (Post-market Surveillance Requirements) (Amendment) (Great Britain) Regulations 2024, SI 2024/1368","2024 (in force 2025-06-16)",final,,n/a,"regulation number to confirm against legislation.gov.uk"
EU_MDR_ART86_1,"Regulation (EU) 2017/745 (MDR)",,final,,n/a,"article to confirm (PSUR)"
MDCG_2022_21,"MDCG 2022-21 guidance on PSUR",2022,guidance,,n/a,"section headings unverified"
MDCG_2020_8,"MDCG 2020-8 PMCF evaluation report template",2020,guidance,,n/a,"section headings unverified"
PP_SCOPE,"ProofPack internal: scope and limits block (D4 section 7.2)",engine version,internal,,,"ProofPack's own text; not a regulatory reference"
PP_METHODS,"ProofPack internal: methods appendix conventions (T7)",engine version,internal,,,"ProofPack's own text; not a regulatory reference"
